"V1","V2"
399.6916,0
400.1737,0.3804621
400.6559,0.2743398
401.138,0.2125825
401.6201,0.1724856
402.1023,0.1462892
402.5844,0.130676
403.0666,0.1242782
403.5487,0.1267189
404.0308,0.1381731
404.513,0.1591047
404.9951,0.190085
405.4772,0.2314984
405.9594,0.2828464
406.4415,0.3409551
406.9236,0.3964002
407.4058,0.4309653
407.8879,0.428784
408.3701,0.3956935
408.8522,0.3507704
409.3343,0.3073996
409.8165,0.270934
410.2986,0.2425886
410.7807,0.2219637
411.2629,0.208073
411.745,0.1997252
412.2271,0.1956687
412.7093,0.1946929
413.1914,0.1957371
413.6736,0.1980115
414.1557,0.2010859
414.6378,0.2048715
415.12,0.2094779
415.6021,0.2150269
416.0843,0.2214694
416.5664,0.2285238
417.0485,0.2357503
417.5307,0.2427388
418.0128,0.2493455
418.4949,0.2558338
418.9771,0.2628011
419.4592,0.2709322
419.9413,0.2806738
420.4235,0.2919797
420.9056,0.3042184
421.3878,0.3162762
421.8699,0.3268695
422.352,0.334902
422.8342,0.3396798
423.3163,0.3408928
423.7984,0.3384472
424.2806,0.3323739
424.7627,0.3229273
425.2448,0.3107591
425.727,0.2969432
426.2091,0.2827809
426.6913,0.2694851
427.1734,0.2579349
427.6555,0.2485825
428.1377,0.2414968
428.6198,0.2364947
429.102,0.2332961
429.5841,0.2316637
430.0662,0.2314779
430.5484,0.2327138
431.0305,0.2353501
431.5126,0.2392325
431.9948,0.2439725
432.4769,0.2489305
432.959,0.2533288
433.4412,0.2564679
433.9233,0.2579656
434.4055,0.2578652
434.8876,0.2565552
435.3697,0.2545396
435.8519,0.252221
436.334,0.2497802
436.8161,0.247211
437.2983,0.2444408
437.7804,0.241489
438.2625,0.2385583
438.7447,0.2360374
439.2268,0.2344127
439.709,0.23414
440.1911,0.2355326
440.6732,0.2386929
441.1554,0.2434935
441.6375,0.2495976
442.1196,0.256499
442.6018,0.2635807
443.0839,0.270179
443.566,0.2756794
444.0482,0.2796358
444.5303,0.2818837
445.0125,0.2825872
445.4946,0.2821813
445.9767,0.2812179
446.4589,0.2801987
446.941,0.2794491
447.4232,0.2790831
447.9053,0.2790441
448.3874,0.2791933
448.8696,0.2794004
449.3517,0.2795969
449.8338,0.2797618
450.316,0.2798605
450.7981,0.2797784
451.2802,0.2793025
451.7624,0.2781794
452.2445,0.2762318
452.7267,0.2734749
453.2088,0.2701576
453.6909,0.2666859
454.1731,0.2634792
454.6552,0.2608129
455.1373,0.2587318
455.6195,0.2570556
456.1016,0.2554773
456.5837,0.2537148
457.0659,0.2516518
457.548,0.2494034
458.0302,0.2472781
458.5123,0.2456586
458.9944,0.2448759
459.4766,0.2451213
459.9587,0.2464241
460.4409,0.2486864
460.923,0.2517364
461.4051,0.2553762
461.8873,0.2593936
462.3694,0.2635399
462.8515,0.2674968
463.3337,0.2708763
463.8158,0.2732884
464.2979,0.2744561
464.7801,0.2743466
465.2622,0.2732223
465.7444,0.2715833
466.2265,0.2700127
466.7086,0.2689957
467.1908,0.2687796
467.6729,0.2693167
468.155,0.2702996
468.6372,0.2712824
469.1193,0.2718461
469.6014,0.2717575
470.0836,0.2710558
470.5657,0.2700382
471.0479,0.2691603
471.53,0.2688912
472.0121,0.2695782
472.4943,0.2713507
472.9764,0.2740806
473.4586,0.2773998
473.9407,0.2807749
474.4228,0.283622
474.905,0.285445
475.3871,0.2859522
475.8692,0.2851218
476.3514,0.2831746
476.8335,0.2804869
477.3156,0.2774665
477.7978,0.2744499
478.2799,0.2716421
478.7621,0.2691107
479.2442,0.2668131
479.7263,0.2646483
480.2085,0.2625112
480.6906,0.2603315
481.1727,0.2581047
481.6549,0.2559013
482.137,0.2538649
482.6191,0.2521951
483.1013,0.2511148
483.5834,0.2508217
484.0656,0.2514299
484.5477,0.2529195
485.0298,0.2551091
485.512,0.2576719
485.9941,0.2602017
486.4763,0.2623259
486.9584,0.2638241
487.4405,0.2647059
487.9227,0.2651996
488.4048,0.2656524
488.8869,0.2663859
489.3691,0.2675633
489.8512,0.2691154
490.3333,0.2707549
490.8155,0.2720696
491.2976,0.2726696
491.7798,0.2723327
492.2619,0.2710867
492.744,0.2691958
493.2262,0.2670665
493.7083,0.2651254
494.1904,0.2637124
494.6726,0.2630243
495.1547,0.2631035
495.6368,0.2638615
496.119,0.2651161
496.6011,0.2666379
497.0833,0.2681887
497.5654,0.269565
498.0475,0.270634
498.5297,0.2713657
499.0118,0.2718409
499.494,0.272229
499.9761,0.2727337
500.4582,0.2735226
500.9404,0.2746647
501.4225,0.2760989
501.9046,0.2776465
502.3868,0.2790694
502.8689,0.2801503
503.351,0.2807634
503.8332,0.2809032
504.3153,0.2806638
504.7975,0.2801769
505.2796,0.2795481
505.7617,0.2788168
506.2439,0.2779571
506.726,0.2769147
507.2081,0.2756559
507.6903,0.2742087
508.1724,0.2726731
508.6545,0.2712007
509.1367,0.269956
509.6188,0.269076
510.101,0.2686394
510.5831,0.2686546
511.0652,0.2690662
511.5474,0.2697689
512.0295,0.2706342
512.5117,0.2715326
512.9938,0.2723554
513.476,0.2730329
513.9581,0.2735424
514.4402,0.2739072
514.9224,0.2741808
515.4045,0.2744222
515.8866,0.27467
516.3688,0.2749292
516.8509,0.2751737
517.333,0.2753665
517.8152,0.2754892
518.2973,0.2755629
518.7794,0.2756486
519.2616,0.2758252
519.7437,0.2761517
520.2258,0.2766359
520.708,0.2772207
521.1901,0.2778025
521.6722,0.278269
522.1544,0.2785476
522.6365,0.2786332
523.1187,0.278589
523.6008,0.2785154
524.0829,0.2785074
524.5651,0.2786163
525.0472,0.2788399
525.5294,0.2791354
526.0115,0.279453
526.4937,0.2797665
526.9758,0.2800856
527.4579,0.2804451
527.9401,0.2808754
528.4222,0.2813711
528.9043,0.2818772
529.3865,0.2822976
529.8686,0.2825256
530.3507,0.2824823
530.8329,0.2821426
