"V1","V2"
399.6916,0
400.1737,0.2841002
400.6559,0.2801483
401.138,0.2764728
401.6201,0.272485
402.1023,0.2674935
402.5844,0.261265
403.0666,0.2543932
403.5487,0.2479964
404.0308,0.2432193
404.513,0.2407468
404.9951,0.2406486
405.4772,0.2423687
405.9594,0.2449749
406.4415,0.2474567
406.9236,0.2491439
407.4058,0.2499087
407.8879,0.2500666
408.3701,0.2500719
408.8522,0.2502203
409.3343,0.2505406
409.8165,0.2508954
410.2986,0.251128
410.7807,0.2512228
411.2629,0.2512932
411.745,0.2514907
412.2271,0.2518625
412.7093,0.2523124
413.1914,0.2526383
413.6736,0.2526964
414.1557,0.2525069
414.6378,0.2522886
415.12,0.2523216
415.6021,0.2527792
416.0843,0.2535819
416.5664,0.254396
417.0485,0.2547573
417.5307,0.2543177
418.0128,0.2530443
418.4949,0.2512827
418.9771,0.2495863
419.4592,0.2484591
419.9413,0.2481229
420.4235,0.2484626
420.9056,0.2490963
421.3878,0.249596
421.8699,0.2496793
422.352,0.2493374
422.8342,0.2487897
423.3163,0.2483339
423.7984,0.2481696
424.2806,0.248315
424.7627,0.2486196
425.2448,0.2488898
425.727,0.2490128
426.2091,0.2490359
426.6913,0.2491265
427.1734,0.2494625
427.6555,0.250102
428.1377,0.250936
428.6198,0.2517195
429.102,0.2522041
429.5841,0.2522622
430.0662,0.2519749
430.5484,0.2515792
431.0305,0.2513578
431.5126,0.2514958
431.9948,0.2520047
432.4769,0.2527295
432.959,0.2534523
433.4412,0.2539992
433.9233,0.2543376
434.4055,0.2545633
434.8876,0.2548313
435.3697,0.2552414
435.8519,0.2557767
436.334,0.2562968
436.8161,0.2566238
437.2983,0.2566389
437.7804,0.256364
438.2625,0.2559485
438.7447,0.255601
439.2268,0.2554803
439.709,0.2556301
440.1911,0.2559692
440.6732,0.2563533
441.1554,0.2566618
441.6375,0.2568698
442.1196,0.2570519
442.6018,0.2573345
443.0839,0.2578062
443.566,0.2584596
444.0482,0.2591755
444.5303,0.2597812
445.0125,0.2601259
445.4946,0.2601603
445.9767,0.2599458
446.4589,0.2596182
446.941,0.2593092
447.4232,0.2590876
447.9053,0.2589427
448.3874,0.25882
448.8696,0.2586747
449.3517,0.2585231
449.8338,0.2584409
450.316,0.2585273
450.7981,0.2588395
451.2802,0.2593517
451.7624,0.2599488
452.2445,0.2604764
452.7267,0.2608036
453.2088,0.2608872
453.6909,0.2607812
454.1731,0.2606042
454.6552,0.260477
455.1373,0.2604712
455.6195,0.2605902
456.1016,0.260797
456.5837,0.2610517
457.0659,0.2613521
457.548,0.2617322
458.0302,0.2622359
458.5123,0.2628681
458.9944,0.2635684
459.4766,0.264217
459.9587,0.2646844
460.4409,0.2648875
460.923,0.2648354
461.4051,0.2646216
461.8873,0.2643805
462.3694,0.2642241
462.8515,0.2641928
463.3337,0.264247
463.8158,0.2643054
464.2979,0.2642926
464.7801,0.2641898
465.2622,0.2640385
465.7444,0.2639129
466.2265,0.2638683
466.7086,0.2639068
467.1908,0.2639703
467.6729,0.2639775
468.155,0.2638706
468.6372,0.2636538
469.1193,0.263395
469.6014,0.2631948
470.0836,0.2631336
470.5657,0.2632385
471.0479,0.2634706
471.53,0.2637577
472.0121,0.2640327
472.4943,0.264273
472.9764,0.2645033
473.4586,0.2647726
473.9407,0.2651127
474.4228,0.26551
474.905,0.2659003
475.3871,0.2662022
475.8692,0.2663546
476.3514,0.2663501
476.8335,0.2662374
477.3156,0.2660944
477.7978,0.2659885
478.2799,0.2659505
478.7621,0.2659692
479.2442,0.2660186
479.7263,0.2660852
480.2085,0.2661896
480.6906,0.2663781
481.1727,0.266693
481.6549,0.2671365
482.137,0.2676566
482.6191,0.2681527
483.1013,0.268524
483.5834,0.2687092
484.0656,0.2687195
484.5477,0.2686312
485.0298,0.2685492
485.512,0.2685573
485.9941,0.268685
486.4763,0.2689056
486.9584,0.2691647
487.4405,0.2694194
487.9227,0.26967
488.4048,0.2699554
488.8869,0.2703265
489.3691,0.2708054
489.8512,0.2713595
490.3333,0.2719005
490.8155,0.2723236
491.2976,0.2725481
491.7798,0.2725585
492.2619,0.272406
492.744,0.2721858
493.2262,0.2719883
493.7083,0.2718683
494.1904,0.2718287
494.6726,0.2718447
495.1547,0.2718892
495.6368,0.2719618
496.119,0.2720894
496.6011,0.2723107
497.0833,0.2726419
497.5654,0.2730599
498.0475,0.2734994
498.5297,0.2738847
499.0118,0.2741615
499.494,0.2743262
499.9761,0.2744249
500.4582,0.2745315
500.9404,0.2747065
501.4225,0.2749716
501.9046,0.2752998
502.3868,0.2756352
502.8689,0.2759233
503.351,0.2761389
503.8332,0.2762907
504.3153,0.2764089
504.7975,0.2765184
505.2796,0.2766229
505.7617,0.2767006
506.2439,0.2767276
506.726,0.2766984
507.2081,0.2766429
507.6903,0.2766171
508.1724,0.2766801
508.6545,0.2768607
509.1367,0.2771416
509.6188,0.2774628
510.101,0.2777509
510.5831,0.2779507
511.0652,0.2780533
511.5474,0.2780926
512.0295,0.2781254
512.5117,0.2781961
512.9938,0.2783138
513.476,0.2784494
513.9581,0.2785566
514.4402,0.2785992
514.9224,0.278575
515.4045,0.2785156
515.8866,0.2784682
516.3688,0.2784677
516.8509,0.2785186
517.333,0.2785924
517.8152,0.2786503
518.2973,0.2786673
518.7794,0.2786523
519.2616,0.2786456
519.7437,0.2786957
520.2258,0.2788322
520.708,0.279044
521.1901,0.2792823
521.6722,0.2794837
522.1544,0.279601
522.6365,0.2796297
523.1187,0.2796066
523.6008,0.2795944
524.0829,0.2796471
524.5651,0.2797871
525.0472,0.279996
525.5294,0.2802308
526.0115,0.2804477
526.4937,0.280625
526.9758,0.2807699
527.4579,0.2809076
527.9401,0.2810578
528.4222,0.2812183
528.9043,0.2813602
529.3865,0.2814448
529.8686,0.2814443
530.3507,0.2813623
530.8329,0.2812364
531.315,0.2811231
531.7971,0.2810738
532.2793,0.2811148
532.7614,0.2812377
533.2435,0.2814119
533.7257,0.281602
534.2078,0.2817861
534.6899,0.2819608
535.1721,0.2821351
535.6542,0.2823133
536.1364,0.2824845
536.6185,0.2826214
537.1006,0.2826942
537.5828,0.2826873
538.0649,0.2826143
538.5471,0.2825155
539.0292,0.2824429
539.5114,0.2824374
539.9935,0.2825134
540.4756,0.2826524
540.9578,0.2828186
541.4399,0.2829753
541.922,0.2831029
542.4042,0.2832037
542.8863,0.283293
543.3684,0.2833841
543.8506,0.2834763
544.3327,0.2835522
544.8148,0.2835913
545.297,0.2835828
545.7791,0.2835385
546.2612,0.2834888
546.7434,0.28347
547.2255,0.283504
547.7076,0.2835863
548.1898,0.2836872
548.6719,0.2837656
549.1541,0.2837916
549.6362,0.2837609
550.1183,0.2836968
550.6005,0.2836378
551.0826,0.2836149
551.5648,0.2836383
552.0469,0.2836907
552.5291,0.2837407
553.0112,0.2837604
553.4933,0.2837427
553.9755,0.283705
554.4576,0.2836795
554.9397,0.2836962
555.4219,0.2837663
555.904,0.2838751
556.3861,0.2839943
556.8683,0.2840925
557.3504,0.2841534
557.8325,0.2841794
558.3147,0.2841865
558.7968,0.2841905
559.2789,0.2841963
559.7611,0.2841936
560.2432,0.2841655
560.7253,0.2841005
561.2075,0.2840042
561.6896,0.2838983
562.1718,0.2838126
562.6539,0.2837691
563.136,0.2837714
563.6182,0.2838017
564.1003,0.2838315
564.5825,0.283836
565.0646,0.2838067
565.5468,0.2837546
566.0289,0.2837014
566.511,0.2836659
566.9932,0.2836525
567.4753,0.2836478
567.9574,0.2836305
568.4396,0.283583
568.9217,0.2835052
569.4038,0.2834139
569.886,0.2833363
570.3681,0.2832949
570.8502,0.2832957
571.3324,0.283326
571.8145,0.2833624
572.2966,0.2833835
572.7787,0.2833823
573.2609,0.2833688
573.743,0.2833624
574.2252,0.283378
574.7073,0.2834165
575.1895,0.2834603
575.6716,0.2834823
576.1537,0.2834596
576.6359,0.2833863
577.118,0.2832762
577.6002,0.2831572
578.0823,0.2830578
578.5644,0.2829947
579.0466,0.2829658
579.5287,0.2829563
580.0108,0.2829458
580.493,0.2829211
580.9751,0.2828791
581.4572,0.2828251
581.9394,0.2827651
582.4215,0.2827001
582.9036,0.2826248
583.3858,0.2825325
583.8679,0.2824235
584.35,0.2823088
584.8322,0.2822088
585.3143,0.2821448
585.7964,0.2821278
586.2786,0.282152
586.7607,0.2821956
587.2429,0.2822319
587.725,0.2822391
588.2072,0.2822117
588.6893,0.2821602
589.1714,0.2821021
589.6536,0.2820517
590.1357,0.2820098
590.6179,0.2819624
591.1,0.2818907
591.5821,0.2817803
592.0643,0.2816327
592.5464,0.2814636
593.0285,0.2812974
593.5107,0.2811534
593.9928,0.2810358
594.4749,0.2809333
594.9571,0.2808245
595.4392,0.2806914
595.9213,0.2805292
596.4035,0.2803496
596.8856,0.280175
597.3677,0.2800268
597.8499,0.2799164
598.332,0.2798387
598.8141,0.2797782
599.2963,0.2797168
599.7784,0.2796428
600.2606,0.279556
600.7427,0.2794629
601.2249,0.2793719
601.707,0.2792843
602.1891,0.2791936
602.6713,0.279089
603.1534,0.278962
603.6356,0.2788133
604.1177,0.2786522
604.5998,0.2784931
605.082,0.2783472
605.5641,0.278218
606.0462,0.2780995
606.5284,0.2779827
607.0105,0.2778625
607.4926,0.2777425
607.9748,0.2776348
608.4569,0.2775543
608.939,0.2775089
609.4212,0.277495
609.9033,0.2774964
610.3854,0.2774912
610.8676,0.2774603
611.3497,0.2773951
611.8318,0.2772991
612.314,0.277182
612.7961,0.2770548
613.2783,0.2769226
613.7604,0.276784
614.2426,0.2766366
614.7247,0.2764818
615.2068,0.2763285
615.689,0.2761901
616.1711,0.2760781
616.6533,0.2759928
617.1354,0.2759205
617.6175,0.2758365
618.0997,0.2757144
618.5818,0.2755375
619.0639,0.2753069
619.5461,0.2750396
620.0282,0.2747609
620.5103,0.2744926
620.9925,0.2742447
621.4746,0.2740111
621.9567,0.2737778
622.4388,0.2735299
622.921,0.2732613
623.4031,0.2729763
623.8853,0.2726861
624.3674,0.2724012
624.8495,0.2721261
625.3317,0.2718563
625.8138,0.2715838
626.296,0.2713026
626.7781,0.271015
627.2603,0.2707304
627.7424,0.2704604
628.2245,0.2702123
628.7067,0.2699835
629.1888,0.2697613
629.6709,0.269529
