"V1","V2"
399.6916,0
400.1737,0.2504779
400.6559,0.2524444
401.138,0.2541074
401.6201,0.2547258
402.1023,0.2536334
402.5844,0.2507312
403.0666,0.2466747
403.5487,0.242573
404.0308,0.2394709
404.513,0.2379441
404.9951,0.2379598
405.4772,0.2389866
405.9594,0.2402646
406.4415,0.2411971
406.9236,0.2416293
407.4058,0.2418543
407.8879,0.2423379
408.3701,0.2433909
408.8522,0.2449601
409.3343,0.2466454
409.8165,0.2479392
410.2986,0.2485154
410.7807,0.2484407
411.2629,0.2480987
411.745,0.2479453
412.2271,0.2482163
412.7093,0.2487954
413.1914,0.2492713
413.6736,0.2491629
414.1557,0.2482153
414.6378,0.2465697
415.12,0.2446897
415.6021,0.2431377
416.0843,0.2423196
416.5664,0.2423522
417.0485,0.2430593
417.5307,0.2440966
418.0128,0.2451209
418.4949,0.2459395
418.9771,0.2465315
419.4592,0.2469692
419.9413,0.2472824
420.4235,0.2473949
420.9056,0.2471579
421.3878,0.2464648
421.8699,0.245369
422.352,0.2441186
422.8342,0.2430728
423.3163,0.2425474
423.7984,0.242681
424.2806,0.2433809
424.7627,0.2443714
425.2448,0.2453284
425.727,0.2460297
426.2091,0.246445
426.6913,0.2467145
427.1734,0.2470326
427.6555,0.2475184
428.1377,0.2481426
428.6198,0.2487447
429.102,0.2491289
429.5841,0.2491851
430.0662,0.2489648
430.5484,0.248652
431.0305,0.2484678
431.5126,0.2485549
431.9948,0.2489123
432.4769,0.2494087
432.959,0.2498649
433.4412,0.2501554
433.9233,0.2502796
434.4055,0.2503498
434.8876,0.2505163
435.3697,0.2508681
435.8519,0.2513814
436.334,0.2519261
436.8161,0.2523387
437.2983,0.252518
437.7804,0.2524878
438.2625,0.2523831
438.7447,0.2523754
439.2268,0.2525799
439.709,0.2529977
440.1911,0.2535237
440.6732,0.2540063
441.1554,0.2543368
441.6375,0.2545138
442.1196,0.2546379
442.6018,0.2548501
443.0839,0.2552432
443.566,0.2558042
444.0482,0.2564121
444.5303,0.2568958
445.0125,0.2571281
445.4946,0.2570927
445.9767,0.2568937
446.4589,0.2567049
446.941,0.2566816
447.4232,0.2568974
447.9053,0.2573191
448.3874,0.2578469
448.8696,0.2583753
449.3517,0.2588572
449.8338,0.259317
450.316,0.2598193
450.7981,0.2604097
451.2802,0.2610672
451.7624,0.2616952
452.2445,0.262159
452.7267,0.2623508
453.2088,0.2622477
453.6909,0.2619212
454.1731,0.2615055
454.6552,0.261133
455.1373,0.2608824
455.6195,0.260761
456.1016,0.2607246
456.5837,0.26072
457.0659,0.260725
457.548,0.2607581
458.0302,0.2608587
458.5123,0.2610531
458.9944,0.2613302
459.4766,0.2616462
459.9587,0.2619484
460.4409,0.2622167
460.923,0.2624772
461.4051,0.2627874
461.8873,0.263194
462.3694,0.2636892
462.8515,0.2641963
463.3337,0.264592
463.8158,0.264765
464.2979,0.264676
464.7801,0.2643929
465.2622,0.2640652
465.7444,0.2638599
466.2265,0.263884
466.7086,0.2641355
467.1908,0.264507
467.6729,0.2648346
468.155,0.2649752
468.6372,0.2648649
469.1193,0.2645346
469.6014,0.264078
470.0836,0.2635943
470.5657,0.2631471
471.0479,0.2627466
471.53,0.262376
472.0121,0.2620272
472.4943,0.2617348
472.9764,0.261572
473.4586,0.2616182
473.9407,0.2619116
474.4228,0.262421
474.905,0.2630454
475.3871,0.2636516
475.8692,0.2641296
476.3514,0.2644362
476.8335,0.2646054
477.3156,0.2647233
477.7978,0.2648817
478.2799,0.2651413
478.7621,0.2655108
479.2442,0.2659595
479.7263,0.2664442
480.2085,0.2669325
480.6906,0.2674063
481.1727,0.2678506
481.6549,0.2682314
482.137,0.2684929
482.6191,0.2685701
483.1013,0.2684259
483.5834,0.2680835
484.0656,0.2676401
484.5477,0.2672411
485.0298,0.267031
485.512,0.2670988
485.9941,0.2674481
486.4763,0.2680019
486.9584,0.2686399
487.4405,0.2692501
487.9227,0.2697706
488.4048,0.2701937
488.8869,0.2705454
489.3691,0.2708483
489.8512,0.2710979
490.3333,0.2712622
490.8155,0.2713069
491.2976,0.2712296
491.7798,0.2710789
492.2619,0.2709444
492.744,0.2709195
493.2262,0.271056
493.7083,0.2713389
494.1904,0.2716877
494.6726,0.2719985
495.1547,0.2721881
495.6368,0.2722363
496.119,0.2721875
496.6011,0.272128
497.0833,0.2721376
497.5654,0.2722586
498.0475,0.2724798
498.5297,0.272755
499.0118,0.2730323
499.494,0.2732825
499.9761,0.2735055
500.4582,0.2737172
500.9404,0.2739229
501.4225,0.2741051
501.9046,0.2742243
502.3868,0.2742446
502.8689,0.2741618
503.351,0.2740214
503.8332,0.2739066
504.3153,0.273909
504.7975,0.2740856
505.2796,0.2744375
505.7617,0.2749065
506.2439,0.2754021
506.726,0.275838
507.2081,0.2761642
507.6903,0.2763734
508.1724,0.2764867
508.6545,0.276526
509.1367,0.2764972
509.6188,0.276389
510.101,0.2761915
510.5831,0.2759198
511.0652,0.2756278
511.5474,0.2753958
512.0295,0.2753029
512.5117,0.2753912
512.9938,0.2756467
513.476,0.2760065
513.9581,0.2763835
514.4402,0.2767072
514.9224,0.2769525
515.4045,0.2771421
515.8866,0.277327
516.3688,0.2775522
516.8509,0.2778319
517.333,0.2781417
517.8152,0.2784353
518.2973,0.278671
518.7794,0.278836
519.2616,0.2789492
519.7437,0.2790479
520.2258,0.2791635
520.708,0.2793025
521.1901,0.2794465
521.6722,0.279564
522.1544,0.2796348
522.6365,0.2796648
523.1187,0.2796841
523.6008,0.2797289
524.0829,0.2798205
524.5651,0.2799519
525.0472,0.2800902
525.5294,0.2801988
526.0115,0.2802581
526.4937,0.280282
526.9758,0.2803095
527.4579,0.2803849
527.9401,0.2805293
528.4222,0.2807274
528.9043,0.2809319
529.3865,0.2810858
529.8686,0.2811526
530.3507,0.2811363
530.8329,0.2810791
531.315,0.2810386
531.7971,0.2810594
532.2793,0.281151
532.7614,0.2812849
533.2435,0.2814144
533.7257,0.2814991
534.2078,0.2815287
534.6899,0.2815243
535.1721,0.2815245
