"V1","V2"
399.6916,0
400.1737,0.2098963
400.6559,0.2120303
401.138,0.2146844
401.6201,0.217338
402.1023,0.219381
402.5844,0.2204331
403.0666,0.2205956
403.5487,0.2203809
404.0308,0.2204382
404.513,0.2211792
404.9951,0.2226558
405.4772,0.2245584
405.9594,0.2264312
406.4415,0.2279372
406.9236,0.2290563
407.4058,0.2300205
407.8879,0.2311049
408.3701,0.2323494
408.8522,0.2334767
409.3343,0.2339943
409.8165,0.233489
410.2986,0.2319192
410.7807,0.229724
411.2629,0.2276197
411.745,0.2262994
412.2271,0.2261369
412.7093,0.2271022
413.1914,0.2287925
413.6736,0.2306443
414.1557,0.2321893
414.6378,0.233271
415.12,0.2340472
415.6021,0.2348486
416.0843,0.2359434
416.5664,0.2373989
417.0485,0.2390539
417.5307,0.2406252
418.0128,0.2418696
418.4949,0.2427274
418.9771,0.2433151
419.4592,0.2438214
419.9413,0.2443464
420.4235,0.2448281
420.9056,0.2450638
421.3878,0.2448409
421.8699,0.2440809
422.352,0.2429163
422.8342,0.2416312
423.3163,0.2405432
423.7984,0.2398521
424.2806,0.2395918
424.7627,0.2396415
425.2448,0.239827
425.727,0.2400302
426.2091,0.2402577
426.6913,0.240613
427.1734,0.2412165
427.6555,0.2420986
428.1377,0.2431641
428.6198,0.2442066
429.102,0.2450074
429.5841,0.2454386
430.0662,0.2455269
430.5484,0.2454225
431.0305,0.2453197
431.5126,0.2453466
431.9948,0.2455204
432.4769,0.2457628
432.959,0.2459709
433.4412,0.2461011
433.9233,0.2462129
434.4055,0.2464337
434.8876,0.2468917
435.3697,0.2476227
435.8519,0.2485407
436.334,0.2494582
436.8161,0.2501725
437.2983,0.2505629
437.7804,0.2506506
438.2625,0.2505708
438.7447,0.2504971
439.2268,0.2505363
439.709,0.2506831
440.1911,0.2508265
440.6732,0.2508276
441.1554,0.2506081
441.6375,0.2502147
442.1196,0.2498011
442.6018,0.2495622
443.0839,0.2496349
443.566,0.2500408
444.0482,0.2506748
444.5303,0.2513618
445.0125,0.2519387
445.4946,0.2523258
445.9767,0.2525432
446.4589,0.2526776
446.941,0.252811
447.4232,0.2529739
447.9053,0.2531304
448.3874,0.2532172
448.8696,0.2531972
449.3517,0.2531045
449.8338,0.2530387
450.316,0.2531224
450.7981,0.2534377
451.2802,0.2539831
451.7624,0.2546701
452.2445,0.2553629
452.7267,0.2559409
453.2088,0.2563512
453.6909,0.2566143
454.1731,0.256799
454.6552,0.256963
455.1373,0.2571203
455.6195,0.2572308
456.1016,0.2572344
456.5837,0.2570979
457.0659,0.2568472
457.548,0.2565618
458.0302,0.2563392
458.5123,0.2562431
458.9944,0.2562775
459.4766,0.2563899
459.9587,0.2565118
460.4409,0.256606
460.923,0.2566926
