"V1","V2"
399.6916,0
400.1737,0.2553078
400.6559,0.2583806
401.138,0.2621253
401.6201,0.2654569
402.1023,0.2671186
402.5844,0.2664392
403.0666,0.2637813
403.5487,0.2603882
404.0308,0.2576354
404.513,0.2563871
404.9951,0.2566918
405.4772,0.2578653
405.9594,0.2588189
406.4415,0.2585909
406.9236,0.2568082
407.4058,0.2537875
407.8879,0.2501999
408.3701,0.2466342
408.8522,0.2433447
409.3343,0.2402792
409.8165,0.2373111
410.2986,0.2344837
410.7807,0.2321021
411.2629,0.2306349
411.745,0.2304816
412.2271,0.23177
412.7093,0.2342447
413.1914,0.2373176
413.6736,0.2402532
414.1557,0.2424769
414.6378,0.243791
415.12,0.2444036
415.6021,0.2447222
416.0843,0.2450811
416.5664,0.245562
417.0485,0.2459845
417.5307,0.2460442
418.0128,0.2455345
418.4949,0.2444892
418.9771,0.2431954
419.4592,0.2420244
419.9413,0.241255
420.4235,0.24095
420.9056,0.2409776
421.3878,0.2411122
421.8699,0.2411851
422.352,0.2411748
422.8342,0.2411999
423.3163,0.2414225
423.7984,0.241931
424.2806,0.242676
424.7627,0.2434847
425.2448,0.2441617
425.727,0.244604
426.2091,0.2448675
426.6913,0.2451413
427.1734,0.2456402
427.6555,0.2464855
428.1377,0.2476394
428.6198,0.2489229
429.102,0.2500987
429.5841,0.2509926
430.0662,0.2515638
430.5484,0.2519009
431.0305,0.2521415
431.5126,0.2523755
431.9948,0.2525896
432.4769,0.2526872
432.959,0.2525683
433.4412,0.252222
433.9233,0.2517617
434.4055,0.2514004
434.8876,0.2513475
435.3697,0.2517095
435.8519,0.2524364
436.334,0.2533325
436.8161,0.2541435
437.2983,0.2546708
437.7804,0.2548506
438.2625,0.2547667
438.7447,0.2545829
439.2268,0.2544484
439.709,0.254427
440.1911,0.2544867
440.6732,0.2545457
441.1554,0.2545424
441.6375,0.2544866
442.1196,0.2544585
442.6018,0.2545561
443.0839,0.2548299
443.566,0.2552386
444.0482,0.2556593
444.5303,0.2559441
445.0125,0.2559983
445.4946,0.2558308
445.9767,0.2555499
446.4589,0.2553027
446.941,0.2552041
447.4232,0.2552807
447.9053,0.2554761
448.3874,0.2556939
448.8696,0.2558694
449.3517,0.2560113
449.8338,0.2562044
450.316,0.2565554
450.7981,0.257127
