"V1","V2"
399.6916,0
400.1737,0.2183151
400.6559,0.2166061
401.138,0.2159583
401.6201,0.2157462
402.1023,0.2152139
402.5844,0.2139467
403.0666,0.2121332
403.5487,0.2104791
404.0308,0.2098431
404.513,0.2108314
404.9951,0.2135776
405.4772,0.2177168
405.9594,0.2225104
406.4415,0.2271617
406.9236,0.2310885
407.4058,0.2340958
407.8879,0.2362533
408.3701,0.2376248
408.8522,0.2380588
409.3343,0.2372304
409.8165,0.2348881
410.2986,0.231151
410.7807,0.2265932
411.2629,0.2220772
411.745,0.2184329
412.2271,0.2161978
412.7093,0.2155051
413.1914,0.216106
413.6736,0.2175078
414.1557,0.2191694
414.6378,0.2206849
415.12,0.2218722
415.6021,0.222723
416.0843,0.223284
416.5664,0.2235532
417.0485,0.2234806
417.5307,0.2230405
418.0128,0.222333
418.4949,0.2216094
418.9771,0.2212042
419.4592,0.2213953
419.9413,0.2222722
420.4235,0.2236881
420.9056,0.2253148
421.3878,0.226778
421.8699,0.2278251
422.352,0.2284151
422.8342,0.2287113
423.3163,0.2289626
423.7984,0.2293632
424.2806,0.2299551
424.7627,0.2306317
425.2448,0.2312173
425.727,0.2315818
426.2091,0.2317136
426.6913,0.231724
427.1734,0.2317684
427.6555,0.2319507
428.1377,0.2322629
428.6198,0.2325957
429.102,0.2328095
429.5841,0.2328221
430.0662,0.2326593
430.5484,0.2324422
431.0305,0.2323168
431.5126,0.2323703
431.9948,0.2325849
432.4769,0.2328562
432.959,0.2330606
433.4412,0.2331392
433.9233,0.2331388
434.4055,0.2331995
434.8876,0.233478
435.3697,0.234062
435.8519,0.234913
436.334,0.2358727
436.8161,0.236726
437.2983,0.2372993
437.7804,0.2375335
438.2625,0.2375019
438.7447,0.2373605
439.2268,0.2372707
439.709,0.2373242
440.1911,0.2375243
440.6732,0.2378063
441.1554,0.2380916
441.6375,0.2383326
442.1196,0.2385301
442.6018,0.2387122
443.0839,0.2388955
443.566,0.2390563
444.0482,0.2391339
444.5303,0.2390639
445.0125,0.2388274
445.4946,0.2384712
445.9767,0.2381037
446.4589,0.2378493
446.941,0.2377955
447.4232,0.2379571
447.9053,0.2382824
448.3874,0.2386833
448.8696,0.2390878
449.3517,0.2394687
449.8338,0.2398494
450.316,0.2402728
450.7981,0.2407613
451.2802,0.2412879
451.7624,0.2417882
452.2445,0.2421891
452.7267,0.2424619
453.2088,0.2426403
453.6909,0.2428095
454.1731,0.2430645
454.6552,0.243456
455.1373,0.2439592
455.6195,0.2444825
456.1016,0.2449084
456.5837,0.2451536
457.0659,0.2452073
457.548,0.2451354
458.0302,0.2450442
458.5123,0.2450245
458.9944,0.2451108
459.4766,0.2452761
459.9587,0.2454577
460.4409,0.2456048
460.923,0.2457065
461.4051,0.2457979
461.8873,0.2459318
462.3694,0.2461405
462.8515,0.2464057
463.3337,0.2466641
463.8158,0.2468356
464.2979,0.2468692
464.7801,0.2467698
465.2622,0.2465989
465.7444,0.2464438
466.2265,0.2463749
466.7086,0.2464145
467.1908,0.2465351
467.6729,0.2466818
468.155,0.2468128
468.6372,0.2469181
469.1193,0.2470214
469.6014,0.247159
470.0836,0.2473463
470.5657,0.2475597
471.0479,0.2477471
471.53,0.2478572
472.0121,0.2478748
472.4943,0.2478379
472.9764,0.2478282
473.4586,0.2479307
473.9407,0.248194
474.4228,0.2486028
474.905,0.2490844
475.3871,0.2495424
475.8692,0.249901
476.3514,0.2501313
476.8335,0.2502587
477.3156,0.2503346
477.7978,0.2504008
478.2799,0.2504652
478.7621,0.2505026
479.2442,0.2504758
479.7263,0.2503694
480.2085,0.2502049
480.6906,0.2500352
481.1727,0.2499188
481.6549,0.2498865
482.137,0.2499243
482.6191,0.2499824
483.1013,0.2500057
483.5834,0.2499705
484.0656,0.2499026
484.5477,0.2498712
485.0298,0.2499554
485.512,0.2502059
485.9941,0.2506147
486.4763,0.2511192
486.9584,0.2516255
487.4405,0.2520505
487.9227,0.2523515
488.4048,0.2525354
488.8869,0.2526439
489.3691,0.2527248
489.8512,0.2528071
490.3333,0.2528947
490.8155,0.252976
491.2976,0.2530431
491.7798,0.2531002
492.2619,0.2531655
492.744,0.2532541
493.2262,0.2533631
493.7083,0.2534665
494.1904,0.2535276
494.6726,0.2535261
495.1547,0.2534775
495.6368,0.2534364
496.119,0.2534776
496.6011,0.2536613
497.0833,0.2540016
497.5654,0.2544505
498.0475,0.2549174
498.5297,0.255303
499.0118,0.2555457
499.494,0.2556432
499.9761,0.2556506
500.4582,0.2556492
500.9404,0.2557078
501.4225,0.255852
501.9046,0.2560629
502.3868,0.2562945
502.8689,0.2565085
503.351,0.256694
503.8332,0.2568728
504.3153,0.257082
504.7975,0.2573453
505.2796,0.2576554
505.7617,0.2579723
506.2439,0.2582428
506.726,0.258429
507.2081,0.2585251
507.6903,0.258562
508.1724,0.2585884
508.6545,0.2586452
509.1367,0.258747
509.6188,0.2588818
510.101,0.2590235
510.5831,0.2591546
511.0652,0.2592785
511.5474,0.2594172
512.0295,0.2595962
512.5117,0.2598246
512.9938,0.2600809
513.476,0.2603223
513.9581,0.2605003
514.4402,0.2605888
514.9224,0.2605938
515.4045,0.2605529
515.8866,0.260514
516.3688,0.2605136
516.8509,0.2605613
517.333,0.2606415
517.8152,0.2607303
518.2973,0.2608157
