"V1","V2"
399.6916,0
400.1737,0.02525495
400.6559,0.02577665
401.138,0.02606463
401.6201,0.02597499
402.1023,0.02546387
402.5844,0.02460488
403.0666,0.02357594
403.5487,0.0225865
404.0308,0.02179832
404.513,0.02127117
404.9951,0.02095463
405.4772,0.02071549
405.9594,0.0203989
406.4415,0.01989424
406.9236,0.01918861
407.4058,0.01836542
407.8879,0.01756031
408.3701,0.01690126
408.8522,0.01646187
409.3343,0.01623581
409.8165,0.01614902
410.2986,0.01609056
410.7807,0.01596027
411.2629,0.01569651
411.745,0.01529149
412.2271,0.01477849
412.7093,0.01421223
413.1914,0.01365156
413.6736,0.01314642
414.1557,0.01272933
414.6378,0.01242104
415.12,0.01222581
415.6021,0.01213941
416.0843,0.01214755
416.5664,0.01223431
417.0485,0.0123803
417.5307,0.01257027
418.0128,0.01279246
418.4949,0.01304134
418.9771,0.01330505
419.4592,0.01356087
419.9413,0.01376997
420.4235,0.01388485
420.9056,0.01386323
421.3878,0.01369015
421.8699,0.01339314
422.352,0.0130458
422.8342,0.01274556
423.3163,0.01258743
423.7984,0.01262794
424.2806,0.01287187
424.7627,0.01326885
425.2448,0.01373794
425.727,0.0141971
426.2091,0.01459745
426.6913,0.01493256
427.1734,0.01523182
427.6555,0.01553492
428.1377,0.01586358
428.6198,0.01620438
429.102,0.01650997
429.5841,0.0167193
430.0662,0.01678711
430.5484,0.01670298
431.0305,0.01649958
431.5126,0.01623822
431.9948,0.0159883
432.4769,0.01580397
432.959,0.015714
433.4412,0.01572182
433.9233,0.01581715
434.4055,0.01598806
434.8876,0.01622946
435.3697,0.01654027
435.8519,0.01691635
436.334,0.01733988
436.8161,0.01777647
437.2983,0.01818178
437.7804,0.01851617
438.2625,0.01875762
438.7447,0.01890984
439.2268,0.01899653
439.709,0.01905249
440.1911,0.01910623
440.6732,0.01917375
441.1554,0.01925338
441.6375,0.01933511
442.1196,0.01940653
442.6018,0.01946095
443.0839,0.01949812
443.566,0.01952057
444.0482,0.0195282
444.5303,0.0195158
445.0125,0.0194761
445.4946,0.01940733
445.9767,0.0193179
446.4589,0.01923058
446.941,0.019174
447.4232,0.01917522
447.9053,0.0192457
448.3874,0.01937737
448.8696,0.01954234
449.3517,0.01970511
449.8338,0.01983454
450.316,0.01991414
450.7981,0.01994494
451.2802,0.0199408
451.7624,0.01991827
452.2445,0.0198893
452.7267,0.01985791
453.2088,0.01982301
453.6909,0.01978418
454.1731,0.01974683
454.6552,0.01972084
455.1373,0.01971557
455.6195,0.01973145
456.1016,0.01975455
456.5837,0.01975798
457.0659,0.01971248
457.548,0.01959851
458.0302,0.01941941
458.5123,0.01920402
458.9944,0.01900053
459.4766,0.01885998
459.9587,0.01881801
460.4409,0.01888148
460.923,0.01902436
461.4051,0.01919416
461.8873,0.01932828
462.3694,0.01936987
462.8515,0.01928483
463.3337,0.01906847
463.8158,0.01874725
464.2979,0.01837174
464.7801,0.01800645
465.2622,0.01771584
465.7444,0.01755117
466.2265,0.01753972
466.7086,0.01767854
467.1908,0.01793334
467.6729,0.01824478
468.155,0.0185408
468.6372,0.01875316
469.1193,0.01883189
469.6014,0.01875527
470.0836,0.01853155
470.5657,0.01819544
471.0479,0.01779758
471.53,0.01739496
472.0121,0.01704074
472.4943,0.01677921
472.9764,0.01664105
473.4586,0.01664098
473.9407,0.01677623
474.4228,0.01702404
474.905,0.01734183
475.3871,0.01767206
475.8692,0.01795249
476.3514,0.01813289
476.8335,0.01818868
477.3156,0.01813001
477.7978,0.0179986
478.2799,0.01785594
478.7621,0.01776145
479.2442,0.01775415
479.7263,0.01783925
480.2085,0.01798978
480.6906,0.0181565
481.1727,0.01828695
481.6549,0.01834214
482.137,0.01830735
482.6191,0.01819194
483.1013,0.01802358
483.5834,0.01783783
484.0656,0.01766991
484.5477,0.01754811
485.0298,0.01749447
485.512,0.01752396
485.9941,0.01764634
486.4763,0.01786393
486.9584,0.01816934
487.4405,0.01854213
487.9227,0.01895077
488.4048,0.01935513
488.8869,0.01971333
489.3691,0.01998873
489.8512,0.02015468
490.3333,0.02019825
490.8155,0.02012045
491.2976,0.01993717
491.7798,0.01967807
492.2619,0.01938316
492.744,0.01909882
493.2262,0.01886833
493.7083,0.01872435
494.1904,0.01867859
494.6726,0.01872009
495.1547,0.01881631
495.6368,0.01892553
496.119,0.01900964
496.6011,0.01904815
497.0833,0.01904396
497.5654,0.01902095
498.0475,0.01901208
498.5297,0.01904516
