"V1","V2"
399.6916,0
400.1737,0.1564196
400.6559,0.1561727
401.138,0.159585
401.6201,0.1663498
402.1023,0.1753366
402.5844,0.1848
403.0666,0.1928192
403.5487,0.1978825
404.0308,0.1993351
404.513,0.1975333
404.9951,0.193592
405.4772,0.1889148
405.9594,0.1846776
406.4415,0.1815258
406.9236,0.179516
407.4058,0.1783624
407.8879,0.1776866
408.3701,0.1772411
408.8522,0.1769594
409.3343,0.1769313
409.8165,0.1773103
410.2986,0.1782016
410.7807,0.1795845
411.2629,0.1813103
411.745,0.1831397
412.2271,0.1848382
412.7093,0.1862334
413.1914,0.1872633
413.6736,0.1879625
414.1557,0.1884332
414.6378,0.1887839
415.12,0.1890894
415.6021,0.1893604
416.0843,0.189563
416.5664,0.1896424
417.0485,0.189563
417.5307,0.1893282
418.0128,0.188981
418.4949,0.1885751
418.9771,0.1881471
419.4592,0.1876969
419.9413,0.1872087
420.4235,0.1866826
420.9056,0.1861753
421.3878,0.1858071
421.8699,0.185732
422.352,0.1860703
422.8342,0.1868496
423.3163,0.1879628
423.7984,0.1891936
424.2806,0.1902734
424.7627,0.1909848
425.2448,0.1912408
425.727,0.1911194
426.2091,0.1908155
426.6913,0.1905554
427.1734,0.1904906
427.6555,0.1906545
428.1377,0.1909624
428.6198,0.1912784
429.102,0.1914961
429.5841,0.1916001
430.0662,0.1916758
430.5484,0.1918667
431.0305,0.1922931
431.5126,0.1929955
431.9948,0.1939096
432.4769,0.1949007
432.959,0.1958306
433.4412,0.1966213
433.9233,0.1972827
434.4055,0.1978973
434.8876,0.1985565
435.3697,0.1993007
435.8519,0.2000877
436.334,0.2008095
436.8161,0.2013446
437.2983,0.2016297
437.7804,0.2016954
438.2625,0.2016607
438.7447,0.2016797
439.2268,0.2018777
439.709,0.2023034
440.1911,0.2029253
440.6732,0.2036674
441.1554,0.204464
441.6375,0.2053045
442.1196,0.2062422
442.6018,0.2073586
443.0839,0.2087091
443.566,0.2102739
444.0482,0.2119457
444.5303,0.2135638
445.0125,0.2149821
445.4946,0.2161326
445.9767,0.217054
446.4589,0.21787
446.941,0.2187278
447.4232,0.2197278
447.9053,0.220876
448.3874,0.2220798
448.8696,0.2231888
449.3517,0.224058
449.8338,0.2246093
450.316,0.2248542
450.7981,0.2248832
451.2802,0.2248231
451.7624,0.2247936
452.2445,0.2248742
452.7267,0.225097
453.2088,0.2254516
453.6909,0.2259026
454.1731,0.2263977
454.6552,0.2268747
455.1373,0.2272531
455.6195,0.2274379
456.1016,0.2273312
456.5837,0.2268545
457.0659,0.2259751
457.548,0.2247278
458.0302,0.2232137
458.5123,0.2215856
458.9944,0.2200148
459.4766,0.2186591
459.9587,0.2176342
460.4409,0.2169946
460.923,0.2167255
461.4051,0.2167447
461.8873,0.2169166
462.3694,0.2170749
462.8515,0.2170522
463.3337,0.2167139
463.8158,0.2159904
464.2979,0.2148908
464.7801,0.2134972
465.2622,0.2119379
465.7444,0.2103484
466.2265,0.2088377
466.7086,0.2074693
467.1908,0.2062608
467.6729,0.2051983
468.155,0.2042598
468.6372,0.2034276
469.1193,0.2027013
469.6014,0.2020897
470.0836,0.2016033
470.5657,0.2012432
471.0479,0.2009986
471.53,0.2008492
472.0121,0.2007739
472.4943,0.2007573
472.9764,0.2007979
473.4586,0.2009021
473.9407,0.2010843
474.4228,0.2013552
474.905,0.2017172
475.3871,0.2021579
475.8692,0.2026472
476.3514,0.2031332
476.8335,0.2035441
477.3156,0.2037966
477.7978,0.2038127
478.2799,0.2035428
478.7621,0.2029915
479.2442,0.2022289
479.7263,0.2013868
480.2085,0.2006255
