"V1","V2"
399.6916,0
400.1737,0.1756406
400.6559,0.1768957
401.138,0.1795223
401.6201,0.182139
402.1023,0.1832953
402.5844,0.1820689
403.0666,0.1784392
403.5487,0.1732783
404.0308,0.1679675
404.513,0.1639743
404.9951,0.162488
405.4772,0.1641493
405.9594,0.1688283
406.4415,0.1756139
406.9236,0.1830199
407.4058,0.1894378
407.8879,0.1935447
408.3701,0.1945845
408.8522,0.1924566
409.3343,0.1877393
409.8165,0.1815518
410.2986,0.1752969
410.7807,0.1703001
411.2629,0.1675038
411.745,0.1673026
412.2271,0.1695428
412.7093,0.1736094
413.1914,0.1785857
413.6736,0.1834665
414.1557,0.1874339
414.6378,0.1900695
415.12,0.1914172
415.6021,0.1918271
416.0843,0.191718
416.5664,0.191372
417.0485,0.1908742
417.5307,0.190157
418.0128,0.1891303
418.4949,0.1877851
418.9771,0.1862529
419.4592,0.184754
419.9413,0.1835179
420.4235,0.1826953
420.9056,0.1823373
421.3878,0.1824072
421.8699,0.1828373
422.352,0.1835686
422.8342,0.1845781
423.3163,0.1858579
423.7984,0.1873828
424.2806,0.1890733
424.7627,0.1907922
425.2448,0.1923632
425.727,0.1936252
426.2091,0.1944683
426.6913,0.194859
427.1734,0.1948263
427.6555,0.1944362
428.1377,0.1937714
428.6198,0.1929306
429.102,0.1920344
429.5841,0.1912352
430.0662,0.1906956
430.5484,0.1905545
431.0305,0.190882
431.5126,0.1916508
431.9948,0.192733
432.4769,0.1939419
432.959,0.1950874
433.4412,0.1960455
433.9233,0.1967896
434.4055,0.1973893
434.8876,0.1979609
435.3697,0.19861
435.8519,0.1993816
436.334,0.200253
436.8161,0.2011485
437.2983,0.2019829
437.7804,0.2026915
438.2625,0.2032492
438.7447,0.2036624
439.2268,0.2039514
439.709,0.2041351
440.1911,0.2042381
440.6732,0.2042997
441.1554,0.2043906
441.6375,0.2046078
442.1196,0.2050502
442.6018,0.2057788
443.0839,0.2067853
443.566,0.207982
444.0482,0.2092301
444.5303,0.2103894
445.0125,0.2113799
445.4946,0.2122083
