"V1","V2"
399.6916,0
400.1737,0.1808904
400.6559,0.1843353
401.138,0.1877206
401.6201,0.1904163
402.1023,0.1919179
402.5844,0.1920322
403.0666,0.1910253
403.5487,0.1895382
404.0308,0.1883994
404.513,0.1883715
404.9951,0.1899315
405.4772,0.1930315
405.9594,0.1970372
406.4415,0.2008503
406.9236,0.2033209
407.4058,0.2036651
407.8879,0.2016976
408.3701,0.1977705
408.8522,0.1926162
409.3343,0.1871561
409.8165,0.1823554
410.2986,0.1790253
410.7807,0.1776717
411.2629,0.1783715
411.745,0.1807782
412.2271,0.1841951
412.7093,0.1877505
413.1914,0.1905992
413.6736,0.1921708
414.1557,0.1923277
414.6378,0.191367
415.12,0.1898381
415.6021,0.1883008
416.0843,0.1871306
416.5664,0.1864505
417.0485,0.1861604
417.5307,0.1860514
418.0128,0.1859178
418.4949,0.1856601
418.9771,0.1853084
419.4592,0.1849807
419.9413,0.1848016
420.4235,0.1848477
420.9056,0.1851218
421.3878,0.1855809
421.8699,0.1861703
422.352,0.186853
422.8342,0.1876035
423.3163,0.1883901
423.7984,0.1891395
424.2806,0.1897386
424.7627,0.1900568
425.2448,0.1900024
425.727,0.1895665
426.2091,0.1888384
426.6913,0.1879712
427.1734,0.1871241
427.6555,0.18641
428.1377,0.1858743
428.6198,0.1855059
429.102,0.1852828
429.5841,0.1852057
430.0662,0.185314
430.5484,0.185665
431.0305,0.1862924
431.5126,0.1871679
431.9948,0.1881894
432.4769,0.1892058
432.959,0.1900785
433.4412,0.1907361
433.9233,0.1912071
434.4055,0.1916016
434.8876,0.1920577
435.3697,0.1926692
435.8519,0.1934465
436.334,0.1943081
436.8161,0.1951265
437.2983,0.1957844
437.7804,0.1962294
438.2625,0.1964875
438.7447,0.1966426
439.2268,0.1967857
439.709,0.1969779
440.1911,0.1972323
440.6732,0.1975357
441.1554,0.1978817
441.6375,0.1983032
442.1196,0.1988703
442.6018,0.1996674
443.0839,0.2007455
443.566,0.2020901
444.0482,0.2036119
444.5303,0.2051778
445.0125,0.2066662
445.4946,0.2080164
445.9767,0.2092443
446.4589,0.2104251
446.941,0.2116422
447.4232,0.2129356
447.9053,0.2142761
448.3874,0.2155753
448.8696,0.2167278
449.3517,0.2176627
449.8338,0.2183761
450.316,0.2189286
450.7981,0.2194118
451.2802,0.2199046
451.7624,0.2204386
452.2445,0.220994
452.7267,0.2215114
453.2088,0.2219238
453.6909,0.2221734
454.1731,0.2222242
454.6552,0.2220509
455.1373,0.2216349
455.6195,0.2209638
456.1016,0.2200529
456.5837,0.2189622
457.0659,0.2178069
457.548,0.2167379
458.0302,0.2159045
458.5123,0.2154021
458.9944,0.2152389
459.4766,0.215326
459.9587,0.2155061
460.4409,0.2156044
460.923,0.2154836
461.4051,0.2150759
461.8873,0.2143864
462.3694,0.2134646
462.8515,0.2123677
463.3337,0.2111345
463.8158,0.2097841
464.2979,0.2083303
464.7801,0.2068069
465.2622,0.2052806
465.7444,0.2038473
466.2265,0.2026047
466.7086,0.2016238
467.1908,0.200919
467.6729,0.2004419
468.155,0.2000919
468.6372,0.1997455
469.1193,0.19929
469.6014,0.1986523
470.0836,0.1978095
470.5657,0.1967913
471.0479,0.1956677
471.53,0.1945376
472.0121,0.1935111
472.4943,0.1926923
472.9764,0.1921598
473.4586,0.1919502
473.9407,0.1920479
474.4228,0.1923867
474.905,0.1928605
475.3871,0.1933467
475.8692,0.1937309
476.3514,0.1939263
476.8335,0.1938861
477.3156,0.1936027
477.7978,0.1930976
478.2799,0.1924118
478.7621,0.1915991
479.2442,0.1907236
479.7263,0.1898596
480.2085,0.1890841
480.6906,0.1884654
481.1727,0.1880455
481.6549,0.1878255
482.137,0.1877617
482.6191,0.1877761
483.1013,0.1877812
483.5834,0.1877099
484.0656,0.1875371
484.5477,0.1872877
485.0298,0.1870245
485.512,0.1868224
485.9941,0.1867424
486.4763,0.1868099
486.9584,0.1870115
487.4405,0.187303
487.9227,0.1876272
488.4048,0.1879307
488.8869,0.1881753
489.3691,0.1883429
489.8512,0.1884321
490.3333,0.1884552
490.8155,0.1884357
491.2976,0.1884046
491.7798,0.1883947
492.2619,0.1884323
492.744,0.188527
493.2262,0.1886653
493.7083,0.1888123
494.1904,0.1889222
494.6726,0.1889576
