"V1","V2"
399.6916,0
400.1737,0.2251159
400.6559,0.22073
401.138,0.21684
401.6201,0.2136138
402.1023,0.2111398
402.5844,0.2097424
403.0666,0.2100161
403.5487,0.2126026
404.0308,0.2178449
404.513,0.2255068
404.9951,0.2345893
405.4772,0.2433752
405.9594,0.2498402
406.4415,0.2525391
406.9236,0.2514199
407.4058,0.247822
407.8879,0.2436568
408.3701,0.2404792
408.8522,0.2389863
409.3343,0.2389787
409.8165,0.2396462
410.2986,0.2400307
410.7807,0.2395113
411.2629,0.2380376
411.745,0.2360031
412.2271,0.2339204
412.7093,0.232116
413.1914,0.2306281
413.6736,0.2292929
414.1557,0.2279608
414.6378,0.2266785
415.12,0.2257188
415.6021,0.2254549
416.0843,0.2261692
416.5664,0.2278926
417.0485,0.230363
417.5307,0.233099
418.0128,0.2355758
418.4949,0.2374263
418.9771,0.2385481
419.4592,0.2390614
419.9413,0.2391695
420.4235,0.2390213
420.9056,0.2386531
421.3878,0.2380388
421.8699,0.2371966
422.352,0.2362595
422.8342,0.2354641
423.3163,0.2350572
423.7984,0.2351952
424.2806,0.2358582
424.7627,0.236849
425.2448,0.2378589
425.727,0.2385895
426.2091,0.238856
426.6913,0.2386439
427.1734,0.238071
427.6555,0.2373174
428.1377,0.2365498
428.6198,0.2358963
429.102,0.2354491
429.5841,0.2353
430.0662,0.235548
430.5484,0.2362742
431.0305,0.237494
431.5126,0.2391112
431.9948,0.2409079
432.4769,0.2425862
432.959,0.2438573
433.4412,0.2445498
433.9233,0.2446712
434.4055,0.2443982
434.8876,0.2439848
435.3697,0.2436552
435.8519,0.2435241
436.334,0.2435772
436.8161,0.2437142
437.2983,0.2438254
437.7804,0.2438548
438.2625,0.2438165
438.7447,0.2437657
439.2268,0.2437487
439.709,0.2437669
440.1911,0.243779
440.6732,0.2437367
441.1554,0.2436312
441.6375,0.2435217
442.1196,0.243514
442.6018,0.2437094
443.0839,0.2441412
443.566,0.2447443
444.0482,0.2453702
444.5303,0.2458458
445.0125,0.246058
445.4946,0.2460031
445.9767,0.2457885
446.4589,0.2455744
446.941,0.2454993
447.4232,0.2456174
447.9053,0.2458869
448.3874,0.2462076
448.8696,0.2464852
449.3517,0.2466888
449.8338,0.2468669
450.316,0.2471146
450.7981,0.2475155
451.2802,0.2480882
451.7624,0.2487679
452.2445,0.2494292
452.7267,0.2499435
453.2088,0.2502373
453.6909,0.2503197
454.1731,0.2502697
454.6552,0.2501936
455.1373,0.2501762
455.6195,0.2502529
456.1016,0.2504121
456.5837,0.2506159
457.0659,0.2508302
457.548,0.2510378
458.0302,0.2512312
458.5123,0.2513984
458.9944,0.251509
459.4766,0.2515213
459.9587,0.2514013
